provincia_id,provincia_nombre,canton_id,canton_nombre,parroquia_id,parroquia_nombre,parroquia_tipo,anio
02,BOLÍVAR,0203,CHIMBO,020355,TELIMBELA,PARROQUIA RURAL,2024
02,BOLÍVAR,0204,ECHEANDÍA,020450,ECHEANDÍA,CABECERA CANTONAL,2024
02,BOLÍVAR,0205,SAN MIGUEL,020550,SAN MIGUEL,CABECERA CANTONAL,2024
02,BOLÍVAR,0205,SAN MIGUEL,020551,BALSAPAMBA,PARROQUIA RURAL,2024
02,BOLÍVAR,0205,SAN MIGUEL,020552,BILOVÁN,PARROQUIA RURAL,2024
02,BOLÍVAR,0205,SAN MIGUEL,020553,RÉGULO DE MORA,PARROQUIA RURAL,2024
02,BOLÍVAR,0205,SAN MIGUEL,020554,SAN PABLO,PARROQUIA RURAL,2024
02,BOLÍVAR,0205,SAN MIGUEL,020555,SANTIAGO,PARROQUIA RURAL,2024
02,BOLÍVAR,0205,SAN MIGUEL,020556,SAN VICENTE,PARROQUIA RURAL,2024
02,BOLÍVAR,0206,CALUMA,020650,CALUMA,CABECERA CANTONAL,2024
02,BOLÍVAR,0207,LAS NAVES,020750,LAS NAVES,CABECERA CANTONAL,2024
03,CAÑAR,0301,AZOGUES,030150,AZOGUES,CABECERA CANTONAL,2024
03,CAÑAR,0301,AZOGUES,030151,COJITAMBO,PARROQUIA RURAL,2024
03,CAÑAR,0301,AZOGUES,030153,GUAPÁN,PARROQUIA RURAL,2024
03,CAÑAR,0301,AZOGUES,030154,JAVIER LOYOLA,PARROQUIA RURAL,2024
03,CAÑAR,0301,AZOGUES,030155,LUIS CORDERO,PARROQUIA RURAL,2024
03,CAÑAR,0301,AZOGUES,030156,PINDILIG,PARROQUIA RURAL,2024
03,CAÑAR,0301,AZOGUES,030157,RIVERA,PARROQUIA RURAL,2024
03,CAÑAR,0301,AZOGUES,030158,SAN MIGUEL,PARROQUIA RURAL,2024
03,CAÑAR,0301,AZOGUES,030160,TADAY,PARROQUIA RURAL,2024
03,CAÑAR,0302,BIBLIÁN,030250,BIBLIÁN,CABECERA CANTONAL,2024
03,CAÑAR,0302,BIBLIÁN,030251,NAZÓN,PARROQUIA RURAL,2024
03,CAÑAR,0302,BIBLIÁN,030252,SAN FRANCISCO DE SAGEO,PARROQUIA RURAL,2024
03,CAÑAR,0302,BIBLIÁN,030253,TURUPAMBA,PARROQUIA RURAL,2024
03,CAÑAR,0302,BIBLIÁN,030254,JERUSALÉN,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030350,CAÑAR,CABECERA CANTONAL,2024
03,CAÑAR,0303,CAÑAR,030351,CHONTAMARCA,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030352,CHOROCOPTE,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030353,GENERAL MORALES,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030354,GUALLETURO,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030355,HONORATO VÁSQUEZ,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030356,INGAPIRCA,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030357,JUNCAL,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030358,SAN ANTONIO,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030361,ZHUD,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030362,VENTURA,PARROQUIA RURAL,2024
03,CAÑAR,0303,CAÑAR,030363,DUCUR,PARROQUIA RURAL,2024
03,CAÑAR,0304,LA TRONCAL,030450,LA TRONCAL,CABECERA CANTONAL,2024
03,CAÑAR,0304,LA TRONCAL,030451,MANUEL J. CALLE,PARROQUIA RURAL,2024
03,CAÑAR,0304,LA TRONCAL,030452,PANCHO NEGRO,PARROQUIA RURAL,2024
03,CAÑAR,0305,EL TAMBO,030550,EL TAMBO,CABECERA CANTONAL,2024
03,CAÑAR,0306,DÉLEG,030650,DÉLEG,CABECERA CANTONAL,2024
03,CAÑAR,0306,DÉLEG,030651,SOLANO,PARROQUIA RURAL,2024
03,CAÑAR,0307,SUSCAL,030750,SUSCAL,CABECERA CANTONAL,2024
04,CARCHI,0401,TULCÁN,040150,TULCÁN,CABECERA CANTONAL,2024
04,CARCHI,0401,TULCÁN,040151,EL CARMELO,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040153,JULIO ANDRADE,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040154,MALDONADO,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040155,PIOTER,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040156,TOBAR DONOSO,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040157,TUFIÑO,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040158,URBINA,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040159,EL CHICAL,PARROQUIA RURAL,2024
04,CARCHI,0401,TULCÁN,040161,SANTA MARTHA DE CUBA,PARROQUIA RURAL,2024
04,CARCHI,0402,BOLÍVAR,040250,BOLÍVAR,CABECERA CANTONAL,2024
04,CARCHI,0402,BOLÍVAR,040251,GARCÍA MORENO,PARROQUIA RURAL,2024
04,CARCHI,0402,BOLÍVAR,040252,LOS ANDES,PARROQUIA RURAL,2024
04,CARCHI,0402,BOLÍVAR,040253,MONTE OLIVO,PARROQUIA RURAL,2024
04,CARCHI,0402,BOLÍVAR,040254,SAN VICENTE DE PUSIR,PARROQUIA RURAL,2024
04,CARCHI,0402,BOLÍVAR,040255,SAN RAFAEL,PARROQUIA RURAL,2024
04,CARCHI,0403,ESPEJO,040350,EL ÁNGEL,CABECERA CANTONAL,2024
04,CARCHI,0403,ESPEJO,040351,EL GOALTAL,PARROQUIA RURAL,2024
04,CARCHI,0403,ESPEJO,040352,LA LIBERTAD,PARROQUIA RURAL,2024
04,CARCHI,0403,ESPEJO,040353,SAN ISIDRO,PARROQUIA RURAL,2024
04,CARCHI,0404,MIRA,040450,MIRA,CABECERA CANTONAL,2024
04,CARCHI,0404,MIRA,040451,CONCEPCIÓN,PARROQUIA RURAL,2024
04,CARCHI,0404,MIRA,040452,JIJÓN Y CAAMAÑO,PARROQUIA RURAL,2024
04,CARCHI,0404,MIRA,040453,JUAN MONTALVO,PARROQUIA RURAL,2024
04,CARCHI,0405,MONTÚFAR,040550,SAN GABRIEL,CABECERA CANTONAL,2024
04,CARCHI,0405,MONTÚFAR,040551,CRISTÓBAL COLÓN,PARROQUIA RURAL,2024
04,CARCHI,0405,MONTÚFAR,040552,CHITÁN DE NAVARRETE,PARROQUIA RURAL,2024
04,CARCHI,0405,MONTÚFAR,040553,FERNÁNDEZ SALVADOR,PARROQUIA RURAL,2024
04,CARCHI,0405,MONTÚFAR,040554,LA PAZ,PARROQUIA RURAL,2024
04,CARCHI,0405,MONTÚFAR,040555,PIARTAL,PARROQUIA RURAL,2024
04,CARCHI,0406,SAN PEDRO DE HUACA,040650,HUACA,CABECERA CANTONAL,2024
04,CARCHI,0406,SAN PEDRO DE HUACA,040651,MARISCAL SUCRE,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050150,LATACUNGA,CABECERA CANTONAL,2024
05,COTOPAXI,0501,LATACUNGA,050151,ALÁQUEZ,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050152,BELISARIO QUEVEDO,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050153,GUAYTACAMA,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050154,JOSEGUANGO BAJO,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050156,MULALÓ,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050157,ONCE DE NOVIEMBRE,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050158,POALÓ,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050159,SAN JUAN DE PASTOCALLE,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050161,TANICUCHI,PARROQUIA RURAL,2024
05,COTOPAXI,0501,LATACUNGA,050162,TOACASO,PARROQUIA RURAL,2024
05,COTOPAXI,0502,LA MANÁ,050250,LA MANÁ,CABECERA CANTONAL,2024
05,COTOPAXI,0502,LA MANÁ,050251,GUASAGANDA,PARROQUIA RURAL,2024
05,COTOPAXI,0502,LA MANÁ,050252,PUCAYACU,PARROQUIA RURAL,2024
05,COTOPAXI,0503,PANGUA,050350,EL CORAZÓN,CABECERA CANTONAL,2024
05,COTOPAXI,0503,PANGUA,050351,MORASPUNGO,PARROQUIA RURAL,2024
05,COTOPAXI,0503,PANGUA,050352,PINLLOPATA,PARROQUIA RURAL,2024
05,COTOPAXI,0503,PANGUA,050353,RAMÓN CAMPAÑA,PARROQUIA RURAL,2024
05,COTOPAXI,0504,PUJILÍ,050450,PUJILÍ,CABECERA CANTONAL,2024
05,COTOPAXI,0504,PUJILÍ,050451,ANGAMARCA,PARROQUIA RURAL,2024
05,COTOPAXI,0504,PUJILÍ,050453,GUANGAJE,PARROQUIA RURAL,2024
05,COTOPAXI,0504,PUJILÍ,050455,LA VICTORIA,PARROQUIA RURAL,2024
05,COTOPAXI,0504,PUJILÍ,050456,PILALÓ,PARROQUIA RURAL,2024
05,COTOPAXI,0504,PUJILÍ,050457,TINGO,PARROQUIA RURAL,2024
05,COTOPAXI,0504,PUJILÍ,050458,ZUMBAHUA,PARROQUIA RURAL,2024
05,COTOPAXI,0505,SALCEDO,050550,SAN MIGUEL,CABECERA CANTONAL,2024
05,COTOPAXI,0505,SALCEDO,050551,ANTONIO JOSÉ HOLGUÍN,PARROQUIA RURAL,2024
05,COTOPAXI,0505,SALCEDO,050552,CUSUBAMBA,PARROQUIA RURAL,2024
05,COTOPAXI,0505,SALCEDO,050553,MULALILLO,PARROQUIA RURAL,2024
05,COTOPAXI,0505,SALCEDO,050554,MULLIQUINDIL,PARROQUIA RURAL,2024
05,COTOPAXI,0505,SALCEDO,050555,PANSALEO,PARROQUIA RURAL,2024
05,COTOPAXI,0506,SAQUISILÍ,050650,SAQUISILÍ,CABECERA CANTONAL,2024
05,COTOPAXI,0506,SAQUISILÍ,050651,CANCHAGUA,PARROQUIA RURAL,2024
05,COTOPAXI,0506,SAQUISILÍ,050652,CHANTILÍN,PARROQUIA RURAL,2024
05,COTOPAXI,0506,SAQUISILÍ,050653,COCHAPAMBA,PARROQUIA RURAL,2024
05,COTOPAXI,0507,SIGCHOS,050750,SIGCHOS,CABECERA CANTONAL,2024
05,COTOPAXI,0507,SIGCHOS,050751,CHUGCHILLÁN,PARROQUIA RURAL,2024
05,COTOPAXI,0507,SIGCHOS,050752,ISINLIVI,PARROQUIA RURAL,2024
05,COTOPAXI,0507,SIGCHOS,050753,LAS PAMPAS,PARROQUIA RURAL,2024
05,COTOPAXI,0507,SIGCHOS,050754,PALO QUEMADO,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060150,RIOBAMBA,CABECERA CANTONAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060151,CACHA,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060152,CALPI,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060153,CUBIJÍES,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060154,FLORES,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060155,LICÁN,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060156,LICTO,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060157,PUNGALÁ,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060158,PUNÍN,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060159,QUIMIAG,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060160,SAN JUAN,PARROQUIA RURAL,2024
06,CHIMBORAZO,0601,RIOBAMBA,060161,SAN LUIS,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060250,ALAUSÍ,CABECERA CANTONAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060251,ACHUPALLAS,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060253,GUASUNTOS,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060254,HUIGRA,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060255,MULTITUD,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060256,PISTISHI,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060257,PUMALLACTA,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060258,SEVILLA,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060259,SIBAMBE,PARROQUIA RURAL,2024
06,CHIMBORAZO,0602,ALAUSÍ,060260,TIXÁN,PARROQUIA RURAL,2024
06,CHIMBORAZO,0603,COLTA,060350,VILLA LA UNIÓN,CABECERA CANTONAL,2024
06,CHIMBORAZO,0603,COLTA,060351,CAÑI,PARROQUIA RURAL,2024
06,CHIMBORAZO,0603,COLTA,060352,COLUMBE,PARROQUIA RURAL,2024
